age;total
0;72410
1;72645
2;72566
3;71457
4;67251
5;64937
6;64976
7;64441
8;63816
9;62600
10;61429
11;60834
12;61234
13;59992
14;59002
15;57227
16;56005
17;55865
18;56840
19;57082
20;59932
21;57930
22;57647
23;59459
24;62263
25;65242
26;68086
27;71791
28;76766
29;79237
30;82614
31;81733
32;78832
33;75997
34;74769
35;74286
36;73970
37;72536
38;72619
39;70850
40;70347
41;68490
42;64732
43;64164
44;63079
45;62698
46;63180
47;61369
48;59782
49;58156
50;58441
51;56126
52;54054
53;70939
54;52319
55;50731
56;50475
57;48474
58;48640
59;46202
60;45365
61;44765
62;44100
63;43124
64;41432
65;39834
66;36582
67;34761
68;32783
69;29678
70;28165
71;27822
72;26505
73;24637
74;24061
75;23096
76;21734
77;20643
78;18862
79;17701
80;16954
81;15331
82;13893
83;12378
84;11557
85;10247
86;9249
87;7975
88;6854
89;5562
90;4718
91;3859
92;2763
93;1927
94;1610
95;1166
96;810
97;638
98;381
99;268
100;389
