age;1;2;3;4;5;6;7
0;25976;5702;7697;3893;10043;7646;6629
1;25780;5710;7810;3997;10262;7715;6565
2;24929;5797;8121;3969;10206;8054;6695
3;24430;5770;7877;4021;10129;7681;6706
4;22429;5521;7514;3897;9573;7479;6206
5;21419;5416;7136;3779;9175;7299;6337
6;21647;5323;7101;3746;9152;7329;6260
7;21394;5201;6966;3878;8953;7346;6238
8;21439;5246;6823;3620;9025;7180;6111
9;20513;5138;6836;3683;8845;7169;6046
10;20201;5126;6642;3614;8645;7020;5957
11;19662;5255;6444;3740;8634;7070;5887
12;19853;5157;6514;3800;8863;7017;5926
13;19244;5127;6380;3700;8727;6990;5727
14;19076;5157;5989;3600;8623;6883;5789
15;18459;4889;5818;3599;8246;6592;5665
16;18182;4718;5658;3404;8298;6478;5469
17;18518;4736;5591;3384;7989;6460;5571
18;19929;5086;5260;3259;8185;6135;5721
19;21934;5191;4866;3049;7990;5519;5448
20;23401;5318;5066;3096;8438;5717;5732
21;22828;4970;4931;3005;8099;5378;5414
22;23091;4764;4886;2947;7987;5484;5302
23;23879;4557;5111;2999;8208;5761;5507
24;25508;4697;5435;2972;8373;6084;5579
25;27221;4827;5768;3055;8652;6135;5797
26;28141;5071;5906;3076;9413;6450;6021
27;29881;5352;6225;3334;9750;6845;6333
28;32082;5684;6798;3508;10382;7102;6798
29;33183;5724;6918;3602;10746;7432;7042
30;34179;6099;7423;3873;11062;7904;7297
31;32991;6042;7582;3808;11251;7992;7325
32;31706;5888;7317;3673;11057;7735;6951
33;29685;5789;7256;3692;10663;7674;6845
34;28399;5804;7107;3751;10696;7667;6859
35;27934;5842;7399;3801;10471;7567;6886
36;27485;5797;7442;3768;10588;7672;6826
37;26688;5706;7407;3774;10268;7501;6765
38;26488;5864;7358;3763;10262;7746;6758
39;25697;5665;7131;3732;10175;7496;6550
40;25067;5681;7222;3696;10130;7420;6686
41;24162;5610;7009;3753;9968;7370;6443
42;22610;5205;6599;3609;9297;7143;6158
43;22087;5328;6614;3675;9337;6995;6103
44;21279;5333;6236;3566;9239;7219;6233
45;21332;5201;6265;3530;9405;6958;6106
46;21608;5192;6255;3574;9362;7116;6134
47;20951;5155;5946;3532;9118;6873;5969
48;20433;4998;5795;3338;9004;6931;5690
49;20086;4855;5539;3269;8750;6494;5636
50;20023;4821;5513;3283;8685;6670;5815
51;18957;4758;5276;3349;8312;6367;5655
52;18206;4711;4901;3143;8167;6127;5509
53;35227;4678;4932;3100;8079;6059;5581
54;17493;4529;4887;3106;7851;5827;5411
55;16862;4370;4708;3041;7653;5705;5293
56;16523;4453;4703;3096;7497;5708;5460
57;15973;4215;4446;2959;7349;5505;5103
58;16034;4376;4385;2995;7368;5477;5013
59;15146;4103;4136;2828;7082;5286;4826
60;14851;4082;4082;2869;6962;5074;4827
61;14553;4075;3986;2888;6695;5140;4745
62;14375;4005;4003;2733;6761;5007;4605
63;13832;3910;3941;2709;6547;5073;4493
64;13430;3703;3685;2606;6444;4809;4338
65;12522;3607;3586;2577;6285;4636;4251
66;11620;3342;3273;2387;5740;4273;3740
67;11086;3131;3159;2251;5292;4202;3627
68;10561;2934;2888;2134;4977;3888;3418
69;9566;2604;2541;1875;4615;3553;3232
70;9101;2509;2442;1855;4336;3405;2947
71;9069;2511;2319;1783;4450;3281;2823
72;8682;2362;2196;1724;4023;3168;2822
73;8031;2149;2094;1556;3873;2970;2533
74;7812;2047;2012;1543;3760;2837;2563
75;7385;2085;2017;1437;3576;2739;2450
76;7023;1875;1856;1421;3434;2573;2258
77;6575;1788;1739;1319;3247;2441;2281
78;6089;1648;1588;1247;2936;2197;2031
79;5627;1553;1429;1167;2867;2035;1998
80;5345;1490;1413;1140;2681;1977;1903
81;4932;1341;1296;956;2475;1801;1650
82;4366;1198;1145;949;2200;1558;1587
83;4014;1057;1026;861;1841;1398;1451
84;3634;1032;989;783;1797;1268;1329
85;3240;855;861;719;1569;1199;1154
86;2813;825;825;636;1443;1032;1103
87;2393;716;675;594;1252;935;936
88;2094;576;604;482;1062;797;844
89;1729;446;503;416;842;652;661
90;1440;396;414;345;720;537;598
91;1186;355;319;283;579;432;468
92;837;245;258;192;393;317;343
93;586;154;178;171;288;221;231
94;458;124;155;138;259;152;234
95;358;91;105;86;180;112;162
96;237;71;77;57;132;79;105
97;192;53;62;50;85;64;103
98;113;24;32;34;69;35;53
99;87;23;20;17;42;29;34
100;130;37;29;35;48;28;61
